Log-Datum;Log-Uhrzeit;Ladungstyp;Preisbasis;Preis;Tachostand;Ladungsstart;Ladungsende;Energie-Start;Energie-Ende;Bezogene Energie;Spannung Hilfsbatterie;Ladungsdauer;Geladene Energie;Kosten
25.01.18;00:00:00;Vollladung;Home;0.2546;545;00:00:00;22:31:40;11.7;93.1;81100;12.9;1352;71.4;20.64
28.01.18;18:00:00;Vollladung;Home;0.2546;705;18:00:00;00:57:00;96.1;119.1;25000;12.9;417;23.0;6.37
29.01.18;18:00:00;Vollladung;Home;0.2546;832;18:00:00;22:45:00;122.1;141.5;17100;12.9;285;19.4;4.94
30.01.18;18:00:00;Vollladung;Home;0.2546;884;18:00:00;20:49:00;144.5;152.6;10100;12.9;169;8.1;2.75
31.01.18;18:00:00;Vollladung;Home;0.2546;1011;18:00:00;23:27:00;155.2;172.1;19600;12.9;327;16.9;4.99
01.02.18;18:00:00;Vollladung;Home;0.2546;1137;18:00:00;23:44:00;174.6;192.7;20600;12.9;344;18.1;5.24
04.02.18;18:00:00;Vollladung;Home;0.2546;1288;18:00:00;01:02:00;195.8;218.3;25300;12.9;422;22.5;6.44
05.02.18;18:00:00;Vollladung;Home;0.2546;1425;18:00:00;00:14:00;221.1;240.9;22400;12.9;374;19.8;5.7
06.02.18;18:00:00;Vollladung;Home;0.2546;1562;18:00:00;00:17:00;243.2;263.1;22600;12.9;377;19.9;5.75
07.02.18;18:00:00;Vollladung;Home;0.2546;1699;18:00:00;00:12:00;266.4;286.3;22300;12.9;372;19.9;5.68
08.02.18;18:00:00;Vollladung;Home;0.2546;1826;18:00:00;23:52:00;288.6;307.2;21100;12.9;352;18.6;5.37
09.02.18;18:00:00;Vollladung;Home;0.2546;1973;18:00:00;00:45:00;309.8;2331.6;24300;12.9;405;21.8;6.19
11.02.18;18:00:00;Vollladung;Home;0.2546;2006;18:00:00;19:29:00;333.4;337.7;5300;12.9;89;4.3;1.35
12.02.18;18:00:00;Vollladung;Home;0.2546;2146;18:00:00;00:22:00;341.9;362.4;22900;12.9;382;20.5;5.83
13.02.18;18:00:00;Vollladung;Home;0.2546;2296;18:00:00;00:55:00;364.8;387.0;24900;12.9;415;22.2;6.34
14.02.18;18:00:00;Vollladung;Home;0.2546;2405;18:00:00;22:54:00;389.0;404.4;17600;12.9;294;15.4;4.48
17.02.18;18:00:00;Vollladung;Home;0.2546;2578;18:00:00;02:02:00;408.4;434.6;28900;12.9;482;26.2;7.36
19.02.18;18:00:00;Vollladung;Home;0.2546;2724;18:00:00;00:44:00;437.5;459.4;24200;12.9;404;21.9;6.21
20.02.18;18:00:00;Vollladung;Home;0.2546;2833;18:00:00;22:55:00;461.5;476.8;17700;12.9;295;15.3;4.51
21.02.18;18:00:00;Vollladung;Home;0.2546;2960;18:00:00;23:54:00;479.0;497.9;21200;12.9;354;18.9;5.4
22.02.18;18:00:00;Vollladung;Home;0.2546;3098;18:00:00;00:14:00;501.2;521.3;22400;12.9;374;20.1;5.7
25.02.18;18:00:00;Vollladung;Home;0.2546;3236;18:00:00;00:29:00;524.4;544.8;23300;12.9;389;20.4;5.93
26.02.18;18:00:00;Vollladung;Home;0.2546;3356;18:00:00;00:29:00;546.5;567.3;23300;12.9;389;20.8;5.93
27.02.18;18:00:00;Vollladung;Home;0.2546;3472;18:00:00;23:29:00;570.3;588.8;20300;12.9;339;18.5;5.17
28.02.18;18:00:00;Vollladung;Home;0.2546;3583;18:00:00;00:18:00;590.3;600.0;22700;12.9;378;19.2;5.78
01.03.18;18:00:00;Vollladung;Home;0.2546;3708;18:00:00;00:25:00;613.9;634.9;23100;12.9;385;21.0;5.88
04.03.18;18:00:00;Vollladung;Home;0.2546;3851;18:00:00;00:34:00;638.5;659.2;23600;12.9;394;20.7;6.01
05.03.18;18:00:00;Vollladung;Home;0.2546;3942;18:00:00;21:25:00;661.3;671.8;12300;12.9;205;10.5;3.13
06.03.18;18:00:00;Vollladung;Home;0.2546;4086;18:00:00;23:50:00;674.5;694.0;21000;12.9;350;19.5;5.35
07.03.18;18:00:00;Vollladung;Home;0.2546;4213;18:00:00;23:15:00;696.4;712.7;18900;12.9;315;16.3;4.81
08.03.18;18:00:00;Vollladung;Home;0.2546;4339;18:00:00;22:49:00;715.3;731.1;17900;12.9;299;16.3;4.81
09.03.18;15:00:00;Teilladung;Min;0.3500;4470;18:00:00;15:17:00;735.0;748.1;13100;12.9;17;13.1;5.00
10.03.18;18:00:00;Vollladung;Flat;7.5000;4599;18:00:00;01:05:00;750.3;773.8;25000;12.9;705;23.5;7.50
11.03.18;14:00:00;Teilladung;Min;0.3500;4704;18:00:00;14:13:00;775.3;782.8;7500;12.9;13;7.5;4.47
11.03.18;18:00:00;Vollladung;Home;0.2546;4818;18:00:00;23:30:00;785.3;802.2;19800;12.9;330;16.9;5.04
12.03.18;18:00:00;Vollladung;Home;0.2546;4951;18:00:00;23:15:00;805.1;823.0;18900;12.9;315;17.9;4.81
13.03.18;18:00:00;Vollladung;Home;0.2546;5104;18:00:00;00:27:00;826.7;847.5;23200;12.9;387;20.8;5.91
14.03.18;18:00:00;Vollladung;Home;0.2546;5220;18:00:00;22:49:00;851.0;866.3;17300;12.9;289;15.3;4.40
15.03.18;18:00:00;Vollladung;Home;0.2546;5346;18:00:00;22:55:00;869.0;884.7;17700;12.9;295;15.7;4.51
